Sample ID,# of Squares Counted,Count #,Square 1,Square 2,Square 3,Square 4,Square 5,Square 6,Square 7,Square 8,Square 9,Total Cell Count,,Sample ID,Mean,Standard Deviation,CV,Notes
473,3,1,63,78,95,NA,NA,NA,NA,NA,NA,236,,473,204.667,,,Undiluted
473,3,2,73,50,79,NA,NA,NA,NA,NA,NA,202,,488,177.333,,,
473,3,3,72,63,79,NA,NA,NA,NA,NA,NA,214,,506,163.833,,,Undiluted
473,3,4,57,61,51,NA,NA,NA,NA,NA,NA,169,,188,234.167,,,
473,3,5,78,54,71,NA,NA,NA,NA,NA,NA,203,,268,226.000,,,
473,3,6,80,67,57,NA,NA,NA,NA,NA,NA,204,,471,150.167,,,
488,4,1,22,48,40,23,NA,NA,NA,NA,NA,133,,,,,,
488,4,2,55,33,57,39,NA,NA,NA,NA,NA,184,,,,,,
488,4,3,48,77,69,26,NA,NA,NA,NA,NA,220,,,,,,
488,4,4,49,37,42,52,NA,NA,NA,NA,NA,180,,,,,,
488,4,5,61,52,46,32,NA,NA,NA,NA,NA,191,,,,,,
488,4,6,32,49,28,47,NA,NA,NA,NA,NA,156,,,,,,
506,9,1,17,11,34,5,14,19,9,11,20,140,,,,,,"even after vortexing and mixing with pipette, very clumpy"
506,9,2,16,6,6,6,7,17,28,15,16,117,,,,,,very low numbers most likely due to clumping
506,9,3,20,11,21,6,11,11,21,10,13,124,,,,,,
506,9,4,13,9,11,12,13,115,26,9,36,244,,,,,,Had very large clump
506,9,5,30,13,32,9,7,7,12,18,26,154,,,,,,
506,9,6,29,10,7,15,14,11,10,84,24,204,,,,,,
188,3,1,73,45,67,NA,NA,NA,NA,NA,NA,185,,,,,,
188,3,2,80,86,103,NA,NA,NA,NA,NA,NA,269,,,,,,
188,3,3,72,83,95,NA,NA,NA,NA,NA,NA,250,,,,,,
188,3,4,101,83,85,NA,NA,NA,NA,NA,NA,269,,,,,,
188,3,5,95,62,58,NA,NA,NA,NA,NA,NA,215,,,,,,
188,3,6,68,75,74,NA,NA,NA,NA,NA,NA,217,,,,,,
268,4,1,86,75,95,65,NA,NA,NA,NA,NA,321,,,,,,
268,4,2,62,97,103,60,NA,NA,NA,NA,NA,322,,,,,,
268,4,3,50,30,43,34,NA,NA,NA,NA,NA,157,,,,,,
268,4,4,37,36,53,59,NA,NA,NA,NA,NA,185,,,,,,
268,4,5,53,45,77,36,NA,NA,NA,NA,NA,211,,,,,,
268,4,6,44,36,37,43,NA,NA,NA,NA,NA,160,,,,,,
471,3,1,49,43,54,NA,NA,NA,NA,NA,NA,146,,,,,,
471,3,2,57,45,64,NA,NA,NA,NA,NA,NA,166,,,,,,
471,3,3,51,54,61,NA,NA,NA,NA,NA,NA,166,,,,,,
471,3,4,40,43,44,NA,NA,NA,NA,NA,NA,127,,,,,,
471,3,5,61,53,35,NA,NA,NA,NA,NA,NA,149,,,,,,
471,3,6,53,38,56,NA,NA,NA,NA,NA,NA,147,,,,,,
